,,Message,Target
Yelp,52,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0
Yelp,53,The portion was huge!,1
Yelp,54,"Loved it...friendly servers, great food, wonderful and imaginative menu.",1
Yelp,55,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0
Yelp,56,Not much seafood and like 5 strings of pasta at the bottom.,0
Yelp,57,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1
Yelp,58,"The ripped banana was not only ripped, but petrified and tasteless.",0
Yelp,59,At least think to refill my water before I struggle to wave you over for 10 minutes.,0
Yelp,60,This place receives stars for their APPETIZERS!!!,1
Yelp,61,The cocktails are all handmade and delicious.,1
Yelp,62,We'd definitely go back here again.,1
Yelp,63,We are so glad we found this place.,1
Yelp,64,"Great food and service, huge portions and they give a military discount.",1
Yelp,65,Always a great time at Dos Gringos!,1
Yelp,66,Update.....went back for a second time and it was still just as amazing,1
Yelp,67,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0
Yelp,68,A great way to finish a great.,1
Yelp,69,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1
Yelp,70,"- Really, really good rice, all the time.",1
Yelp,71,The service was meh.,0
Yelp,72,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0
Yelp,73,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0
Yelp,74,The scallop dish is quite appalling for value as well.,0
Yelp,75,2 times - Very Bad Customer Service !,0
Yelp,76,The sweet potato fries were very good and seasoned well.,1
Yelp,77,Today is the second time I've been to their lunch buffet and it was pretty good.,1
Yelp,78,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0
Yelp,79,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0
Yelp,80,walked in and the place smelled like an old grease trap and only 2 others there eating.,0
Yelp,81,The turkey and roast beef were bland.,0
Yelp,82,This place has it!,1
Yelp,83,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0
Yelp,84,I love the Pho and the spring rolls oh so yummy you have to try.,1
Yelp,85,The poor batter to meat ratio made the chicken tenders very unsatisfying.,0
Yelp,86,All I have to say is the food was amazing!!!,1
Yelp,87,Omelets are to die for!,1
Yelp,88,Everything was fresh and delicious!,1
Yelp,89,"In summary, this was a largely disappointing dining experience.",0
Yelp,90,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1
Yelp,91,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0
Yelp,92,Best breakfast buffet!!!,1
Yelp,93,say bye bye to your tip lady!,0
Yelp,94,We'll never go again.,0
Yelp,95,Will be back again!,1
Yelp,96,Food arrived quickly!,1
Yelp,97,It was not good.,0
Yelp,98,"On the up side, their cafe serves really good food.",1
Yelp,99,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1
Yelp,100,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1
Yelp,101,"Best Buffet in town, for the price you cannot beat it.",1
Yelp,102,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1
Yelp,103,This is one of the better buffets that I have been to.,1
Yelp,104,So we went to Tigerlilly and had a fantastic afternoon!,1
Yelp,105,"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1
Yelp,106,The ambience is wonderful and there is music playing.,1
Yelp,107,Will go back next trip out.,1
Yelp,108,Sooooo good!!,1
Yelp,109,"REAL sushi lovers, let's be honest - Yama is not that good.",0
Yelp,110,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0
Yelp,111,This is a really fantastic Thai restaurant which is definitely worth a visit.,1
Yelp,112,"Nice, spicy and tender.",1
Yelp,113,Good prices.,1
Yelp,114,Check it out.,1
Yelp,115,It was pretty gross!,0
Yelp,116,I've had better atmosphere.,0
Yelp,117,Kind of hard to mess up a steak but they did.,0
Yelp,118,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0
Yelp,119,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0
Yelp,120,"Worst service to boot, but that is the least of their worries.",0
Yelp,121,Service was fine and the waitress was friendly.,1
Yelp,122,"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1
Yelp,123,"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1
Yelp,124,"Host staff were, for lack of a better word, BITCHES!",0
Yelp,125,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0
Yelp,126,"Phenomenal food, service and ambiance.",1
Yelp,127,I wouldn't return.,0
Yelp,128,"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1
Yelp,129,This place is way too overpriced for mediocre food.,0
Yelp,130,Penne vodka excellent!,1
Yelp,131,"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1
Yelp,132,The management is rude.,0
Yelp,133,"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1
Yelp,134,"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1
Yelp,135,I had a seriously solid breakfast here.,1
Yelp,136,This is one of the best bars with food in Vegas.,1
Yelp,137,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0
Yelp,138,My drink was never empty and he made some really great menu suggestions.,1
Yelp,139,Don't do it!!!!,0
Yelp,140,The waiter wasn't helpful or friendly and rarely checked on us.,0
Yelp,141,My husband and I ate lunch here and were very disappointed with the food and service.,0
Yelp,142,And the red curry had so much bamboo shoots and wasn't very tasty to me.,0
Yelp,143,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1
Yelp,144,The bathrooms are clean and the place itself is well decorated.,1
Yelp,145,"The menu is always changing, food quality is going down & service is extremely slow.",0
Yelp,146,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0
Yelp,147,I give it 2 thumbs down,0
Yelp,148,We watched our waiter pay a lot more attention to other tables and ignore us.,0
Yelp,149,My fiancé and I came in the middle of the day and we were greeted and seated right away.,1
Yelp,150,This is a great restaurant at the Mandalay Bay.,1
Yelp,151,We waited for forty five minutes in vain.,0
Yelp,152,Crostini that came with the salad was stale.,0
Yelp,153,Some highlights : Great quality nigiri here!,1
Yelp,154,the staff is friendly and the joint is always clean.,1
Yelp,155,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1
Yelp,156,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1
Yelp,157,this place is good.,1
Yelp,158,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0
Yelp,159,I came back today since they relocated and still not impressed.,0
Yelp,160,I was seated immediately.,1
Yelp,161,"Their menu is diverse, and reasonably priced.",1
Yelp,162,Avoid at all cost!,0
Yelp,163,Restaurant is always full but never a wait.,1
Yelp,164,DELICIOUS!!,1
Yelp,165,This place is hands-down one of the best places to eat in the Phoenix metro area.,1
Yelp,166,So don't go there if you are looking for good food...,0
Yelp,167,I've never been treated so bad.,0
Yelp,168,Bacon is hella salty.,1
Yelp,169,We also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.,0
Yelp,170,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1
Yelp,171,The waitresses are very friendly.,1
Yelp,172,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1
Yelp,173,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1
Yelp,174,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0
Yelp,175,The service here leaves a lot to be desired.,0
Yelp,176,"The atmosphere is modern and hip, while maintaining a touch of coziness.",1
Yelp,177,"Not a weekly haunt, but definitely a place to come back to every once in a while.",1
Yelp,178,We literally sat there for 20 minutes with no one asking to take our order.,0
Yelp,179,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0
Yelp,180,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0
Yelp,181,I dressed up to be treated so rudely!,0
Yelp,182,It was probably dirt.,0
Yelp,183,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1
Yelp,184,I ordered the Lemon raspberry ice cocktail which was also incredible.,1
Yelp,185,"The food sucked, which we expected but it sucked more than we could have imagined.",0
Yelp,186,Interesting decor.,1
Yelp,187,What I really like there is the crepe station.,1
Yelp,188,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1
Yelp,189,you can watch them preparing the delicious food!),1
Yelp,190,Both of the egg rolls were fantastic.,1
Yelp,191,"When my order arrived, one of the gyros was missing.",0
Yelp,192,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1
Yelp,193,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0
Yelp,194,The best place to go for a tasty bowl of Pho!,1
Yelp,195,The live music on Fridays totally blows.,0
Yelp,196,I've never been more insulted or felt disrespected.,0
Yelp,197,Very friendly staff.,1
Yelp,198,It is worth the drive.,1
Yelp,199,"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1
Yelp,200,Food was great and so was the serivce!,1
Yelp,201,The warm beer didn't help.,0
Yelp,202,Great brunch spot.,1
Yelp,203,Service is friendly and inviting.,1
Yelp,204,Very good lunch spot.,1
Yelp,205,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0
Yelp,206,The WORST EXPERIENCE EVER.,0
Yelp,207,Must have been an off night at this place.,0
Yelp,208,"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1
Yelp,209,"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0
Yelp,210,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0
Yelp,211,My friend loved the salmon tartar.,1
Yelp,212,Won't go back.,0
Yelp,213,Extremely Tasty!,1
Yelp,214,Waitress was good though!,1
Yelp,215,Soggy and not good.,0
Yelp,216,The Jamaican mojitos are delicious.,1
Yelp,217,Which are small and not worth the price.,0
Yelp,218,- the food is rich so order accordingly.,1
Yelp,219,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0
Yelp,220,The service was a bit lacking.,0
Yelp,221,"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0
Yelp,222,Hopefully this bodes for them going out of business and someone who can cook can come in.,0
Yelp,223,"It was either too cold, not enough flavor or just bad.",0
Yelp,224,I loved the bacon wrapped dates.,1
Yelp,225,This is an unbelievable BARGAIN!,1
Yelp,226,The folks at Otto always make us feel so welcome and special.,1
Yelp,227,"As for the ""mains,"" also uninspired.",0
Yelp,228,This is the place where I first had pho and it was amazing!!,1
Yelp,229,This wonderful experience made this place a must-stop whenever we are in town again.,1
Yelp,230,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0
Yelp,231,Very very fun chef.,1
Yelp,232,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0
Yelp,233,Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1
Yelp,234,"If it were possible to give them zero stars, they'd have it.",0
Yelp,235,"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0
Yelp,236,"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1
Yelp,237,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0
Yelp,238,"Everyone is very attentive, providing excellent customer service.",1
Yelp,239,Horrible - don't waste your time and money.,0
Yelp,240,Now this dish was quite flavourful.,1
Yelp,241,By this time our side of the restaurant was almost empty so there was no excuse.,0
Yelp,242,"(It wasn't busy either) Also, the building was FREEZING cold.",0
Yelp,243,"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0
Yelp,244,-Drinks took close to 30 minutes to come out at one point.,0
Yelp,245,"Seriously flavorful delights, folks.",1
Yelp,246,Much better than the other AYCE sushi place I went to in Vegas.,1
Yelp,247,The lighting is just dark enough to set the mood.,1
Yelp,248,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0
Yelp,249,Owner's are really great people.!,1
Yelp,250,There is nothing privileged about working/eating there.,0
Yelp,251,The Greek dressing was very creamy and flavorful.,1
Yelp,252,"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0
Yelp,253,Now the pizza itself was good the peanut sauce was very tasty.,1
Yelp,254,We had 7 at our table and the service was pretty fast.,1
Yelp,255,Fantastic service here.,1
Yelp,256,I as well would've given godfathers zero stars if possible.,0
Yelp,257,They know how to make them here.,1
Yelp,258,very tough and very short on flavor!,0
Yelp,259,I hope this place sticks around.,1
Yelp,260,"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0
Yelp,261,The restaurant atmosphere was exquisite.,1
Yelp,262,"Good service, very clean, and inexpensive, to boot!",1
Yelp,263,The seafood was fresh and generous in portion.,1
Yelp,264,"Plus, it's only 8 bucks.",1
Yelp,265,"The service was not up to par, either.",0
Yelp,266,"Thus far, have only visited twice and the food was absolutely delicious each time.",1
Yelp,267,Just as good as when I had it more than a year ago!,1
Yelp,268,"For a self proclaimed coffee cafe, I was wildly disappointed.",0
Yelp,269,The Veggitarian platter is out of this world!,1
Yelp,270,You cant go wrong with any of the food here.,1
Yelp,271,You can't beat that.,1
Yelp,272,"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1
Yelp,273,The chefs were friendly and did a good job.,1
Yelp,274,"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0
Yelp,275,I liked the patio and the service was outstanding.,1
Yelp,276,The goat taco didn't skimp on the meat and wow what FLAVOR!,1
Yelp,277,I think not again,0
Yelp,278,I had the mac salad and it was pretty bland so I will not be getting that again.,0
Yelp,279,I went to Bachi Burger on a friend's recommendation and was not disappointed.,1
Yelp,280,Service stinks here!,0
Yelp,281,I waited and waited.,0
Yelp,282,"This place is not quality sushi, it is not a quality restaurant.",0
Yelp,283,I would definitely recommend the wings as well as the pizza.,1
Yelp,284,Great Pizza and Salads!,1
Yelp,285,Things that went wrong: - They burned the saganaki.,0
Yelp,286,We waited an hour for what was a breakfast I could have done 100 times better at home.,0
Yelp,287,This place is amazing!,1
Yelp,288,"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0
Yelp,289,Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0
Yelp,290,Just don't know why they were so slow.,0
Yelp,291,"The staff is great, the food is delish, and they have an incredible beer selection.",1
Yelp,292,"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0
Yelp,293,I didn't know pulled pork could be soooo delicious.,1
Yelp,294,"You get incredibly fresh fish, prepared with care.",1
Yelp,295,Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0
Yelp,296,I love the fact that everything on their menu is worth it.,1
Yelp,297,Never again will I be dining at this place!,0
Yelp,298,The food was excellent and service was very good.,1
Yelp,299,Good beer & drink selection and good food selection.,1
Yelp,300,Please stay away from the shrimp stir fried noodles.,0
Yelp,301,The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0
Yelp,302,Food was really boring.,0
Yelp,303,Good Service-check!,1
Yelp,304,This greedy corporation will NEVER see another dime from me!,0
Yelp,305,"Will never, ever go back.",0
Yelp,306,"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0
Yelp,307,"In the summer, you can dine in a charming outdoor patio - so very delightful.",1
Yelp,308,I did not expect this to be so good!,1
Yelp,309,Fantastic food!,1
Yelp,310,She ordered a toasted English muffin that came out untoasted.,0
Yelp,311,The food was very good.,1
Yelp,312,Never going back.,0
Yelp,313,"Great food for the price, which is very high quality and house made.",1
Yelp,314,The bus boy on the other hand was so rude.,0
Yelp,315,"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0
Yelp,316,"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1
Yelp,317,"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1
Yelp,318,All the bread is made in-house!,1
Yelp,319,The only downside is the service.,0
Yelp,320,"Also, the fries are without a doubt the worst fries I've ever had.",0
Yelp,321,Service was exceptional and food was a good as all the reviews.,1
Yelp,322,"A couple of months later, I returned and had an amazing meal.",1
Yelp,323,Favorite place in town for shawarrrrrrma!!!!!!,1
Yelp,324,The black eyed peas and sweet potatoes... UNREAL!,1
Yelp,325,You won't be disappointed.,1
Yelp,326,"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1
Yelp,327,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0
Yelp,328,When my mom and I got home she immediately got sick and she only had a few bites of salad.,0
Yelp,329,The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0
Yelp,330,"Both of them were truly unbelievably good, and I am so glad we went back.",1
Yelp,331,"We had fantastic service, and were pleased by the atmosphere.",1
Yelp,332,Everything was gross.,0
Yelp,333,I love this place.,1
Yelp,334,Great service and food.,1
Yelp,335,First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0
Yelp,336,"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0
Yelp,337,"OMG, the food was delicioso!",1
Yelp,338,There is nothing authentic about this place.,0
Yelp,339,the spaghetti is nothing special whatsoever.,0
Yelp,340,"Of all the dishes, the salmon was the best, but all were great.",1
Yelp,341,The vegetables are so fresh and the sauce feels like authentic Thai.,1
Yelp,342,It's worth driving up from Tucson!,1
Yelp,343,The selection was probably the worst I've seen in Vegas.....there was none.,0
Yelp,344,Pretty good beer selection too.,1
Yelp,345,"This place is like Chipotle, but BETTER.",1
Yelp,346,"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1
Yelp,347,5 stars for the brick oven bread app!,1
Yelp,348,"I have eaten here multiple times, and each time the food was delicious.",1
Yelp,349,We sat another ten minutes and finally gave up and left.,0
Yelp,350,He was terrible!,0
Yelp,351,Everyone is treated equally special.,1
Yelp,352,It shouldn't take 30 min for pancakes and eggs.,0
Yelp,353,It was delicious!!!,1
Yelp,354,"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1
Yelp,355,"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0
Yelp,356,As always the evening was wonderful and the food delicious!,1
Yelp,357,Best fish I've ever had in my life!,1
Yelp,358,(The bathroom is just next door and very nice.),1
Yelp,359,The buffet is small and all the food they offered was BLAND.,0
Yelp,360,This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1
Yelp,361,Pretty cool I would say.,1
Yelp,362,Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0
Yelp,363,Server did a great job handling our large rowdy table.,1
Yelp,364,"I find wasting food to be despicable, but this just wasn't food.",0
Yelp,365,My wife had the Lobster Bisque soup which was lukewarm.,0
Yelp,366,Would come back again if I had a sushi craving while in Vegas.,1
Yelp,367,"The staff are great, the ambiance is great.",1
Yelp,368,He deserves 5 stars.,1
Yelp,369,I left with a stomach ache and felt sick the rest of the day.,0
Yelp,370,They dropped more than the ball.,0
Yelp,371,"The dining space is tiny, but elegantly decorated and comfortable.",1
Yelp,372,"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1
Yelp,373,And the beans and rice were mediocre at best.,0
Yelp,374,Best tacos in town by far!!,1
Yelp,375,I took back my money and got outta there.,0
Yelp,376,"In an interesting part of town, this place is amazing.",1
Yelp,377,RUDE & INCONSIDERATE MANAGEMENT.,0
Yelp,378,"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0
Yelp,379,I won't be back.,0
Yelp,380,They have great dinners.,1
Yelp,381,The service was outshining & I definitely recommend the Halibut.,1
Yelp,382,The food was terrible.,0
Yelp,383,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0
Yelp,384,I don't recommend unless your car breaks down in front of it and you are starving.,0
Yelp,385,I will come back here every time I'm in Vegas.,1
Yelp,386,This place deserves one star and 90% has to do with the food.,0
Yelp,387,This is a disgrace.,0
Yelp,388,Def coming back to bowl next time,1
Yelp,389,"If you want healthy authentic or ethic food, try this place.",1
Yelp,390,I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area (;,1
Yelp,391,"I have been here several times in the past, and the experience has always been great.",1
Yelp,392,We walked away stuffed and happy about our first Vegas buffet experience.,1
Yelp,393,Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1
Yelp,394,"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1
Yelp,395,I'm probably one of the few people to ever go to Ians and not like it.,0
Yelp,396,Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1
Yelp,397,Service is perfect and the family atmosphere is nice to see.,1
Yelp,398,Cooked to perfection and the service was impeccable.,1
Yelp,399,This one is simply a disappointment.,0
Yelp,400,"Overall, I was very disappointed with the quality of food at Bouchon.",0
Yelp,401,I don't have to be an accountant to know I'm getting screwed!,0
Yelp,402,"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1
Yelp,403,Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,1
Yelp,404,Left very frustrated.,0
Yelp,405,I'll definitely be in soon again.,1
Yelp,406,Food was really good and I got full petty fast.,1
Yelp,407,Service was fantastic.,1
Yelp,408,TOTAL WASTE OF TIME.,0
Yelp,409,I don't know what kind it is but they have the best iced tea.,1
Yelp,410,"Come hungry, leave happy and stuffed!",1
Yelp,411,"For service, I give them no stars.",0
Yelp,412,I can assure you that you won't be disappointed.,1
Yelp,413,I can take a little bad service but the food sucks.,0
Yelp,414,Gave up trying to eat any of the crust (teeth still sore).,0
Yelp,415,But now I was completely grossed out.,0
Yelp,416,I really enjoyed eating here.,1
Yelp,417,First time going but I think I will quickly become a regular.,1
Yelp,418,"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1
Yelp,419,From what my dinner companions told me...everything was very fresh with nice texture and taste.,1
Yelp,420,"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0
Yelp,421,"Furthermore, you can't even find hours of operation on the website!",0
Yelp,422,We've tried to like this place but after 10+ times I think we're done with them.,0
Yelp,423,What a mistake that was!,0
Yelp,424,No complaints!,1
Yelp,425,This is some seriously good pizza and I'm an expert/connisseur on the topic.,1
Yelp,426,Waiter was a jerk.,0
Yelp,427,"Strike 2, who wants to be rushed.",0
Yelp,428,These are the nicest restaurant owners I've ever come across.,1
Yelp,429,I never come again.,0
Yelp,430,We loved the biscuits!!!,1
Yelp,431,Service is quick and friendly.,1
Yelp,432,Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,0
Yelp,433,So absolutley fantastic.,1
Yelp,434,It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0
Yelp,435,definitely will come back here again.,1
Yelp,436,I like Steiners because it's dark and it feels like a bar.,1
Yelp,437,Wow very spicy but delicious.,1
Yelp,438,"If you're not familiar, check it out.",1
Yelp,439,I'll take my business dinner dollars elsewhere.,0
Yelp,440,I'd love to go back.,1
Yelp,441,"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1
Yelp,442,Nothing special.,0
Yelp,443,Each day of the week they have a different deal and it's all so delicious!,1
Yelp,444,"Not to mention the combination of pears, almonds and bacon is a big winner!",1
Yelp,445,Will not be back.,0
Yelp,446,Sauce was tasteless.,0
Yelp,447,"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1
Yelp,448,My ribeye steak was cooked perfectly and had great mesquite flavor.,1
Yelp,449,I don't think we'll be going back anytime soon.,0
Yelp,450,Food was so gooodd.,1
Yelp,451,I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0
Yelp,452,I was so insulted.,0
Yelp,453,The last 3 times I had lunch here has been bad.,0
Yelp,454,The chicken wings contained the driest chicken meat I have ever eaten.,0
Yelp,455,"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1
Yelp,456,Nargile - I think you are great.,1
Yelp,457,Best tater tots in the southwest.,1
Yelp,458,We loved the place.,1
Yelp,459,Definitely not worth the $3 I paid.,0
Yelp,460,The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,1
Yelp,461,Im in AZ all the time and now have my new spot.,1
Yelp,462,The manager was the worst.,0
