,clean_tweet,class,labels
116,    when gay girls suck pussy from a bitch who just took a plan b pill the other day that means the munching hoe ate plans ,1,offensive
117,these bitches is crazy,1,offensive
118,big gday so to     nicca lol,1,offensive
119,    no the fuck u cannot dumb bitch matter of fact go get nigga hoe cuz u not going be shit,1,offensive
120,  bitch slap that assholewith a chair,1,offensive
121,    this is a true ride or die bitch   httptcoy1t8ctqn4u,1,offensive
122,been a while since it is just been me solo at the crib feeling kinda lonely like a hoe,1,offensive
123,niggas get a fresh cut snapback to match the shoes and shirtand do not even say waddup to the pretty bitch next to em in da bus,1,offensive
124,      cutie lesbian teens toy slits httptcozs05enjjwm,0,non_offensive
125,funny thing isit is not just the people doing it it is the people who seeing these pics and judging the birds just as wrong,0,non_offensive
126,  brah wiz cheated   httptcooz2pndngj0  she had hair like a dyke uh duh,0,non_offensive
127,      because they are all fucking two years old acting like i will not mind being tagged bitch i will violate you,1,offensive
128,    faggot,1,offensive
129,  jayz and bey they will never bejus trash,0,non_offensive
130,  cuz i was gunna smoke u out today u a bitch tho,1,offensive
131,  and im beautiful bitch,1,offensive
132,    quan helps everyone out with random questions and computer stuff but no one can oop him grs something aint right abo ,0,non_offensive
133,you out there popping them pills fucking them stank hoes keep it real you aint really bout your bank roll you are satisfied,1,offensive
134,stupid bitch,1,offensive
135,  i fucking hate you lmao but thank you little dick van dyke,1,offensive
136,    the sound of wet pussy   gtgt,1,offensive
137,    your ipad raised your kid to be a giant pussy good job,1,offensive
138,    some of you fellas should dress up as real men for halloween because you have been actin like bitches all year long merica,1,offensive
139,it aint nunn to cut that bitch off ,1,offensive
140,  niggas talk more then bitches these days    ,1,offensive
141,    happy 17th birthday to my main hoe and partner in crime      ,1,offensive
142,molly make bitches crazy,1,offensive
143,niggah hurry up,1,offensive
144,thought i told you not to trust these hoes,1,offensive
145,    bad bitches is the only thing that i like,1,offensive
146,    mane the skinny bitches was playin lol i had too take my weight class too another level   ,1,offensive
147,i never put no hoes b4 my bros,1,offensive
148,  fuck no she dont let nobody hit that pussy either i know it is firm,1,offensive
149,      your a early bird,0,non_offensive
150,if anyone wants to bring me a sweet tea to my party that would make my bday perfect well that and cracker barrel  ,0,non_offensive
151,    if your girl did not camp out overnight to buy you the iphone 6 your pee pee is trash,0,non_offensive
152,  i read a black man tweet hot sauce is trash amp watermelon is overrated i cannot deal,0,non_offensive
153,taking pics i am the school bathroom is fucking stupid  ,1,offensive
154,  article is flawed took my first chp with brpd was well done even had 2 ghetto gals with a jammy hipurnt 9 but well done,1,offensive
155,    the thing about houston and austin gays is 99 are hoes aint no wholesome bitches,1,offensive
156,    when you make a joke and someone you hate laughs and you are thinking no bitch you are not allowed to laugh,1,offensive
157,    mass gop govelect charlie baker no drivers licenses for illegal aliens gt httptco3vklymjwjs  ,0,non_offensive
158,    these niggas must be deaf when is the last time you heard a roots song on the radio quest do not get bitches,1,offensive
159,i would never hit a woman but i would slap a hoe,1,offensive
160,broner would still knock half u niccas out,1,offensive
161,the john cantlie video issued by al furqan media is a new level of the jihadi propaganda promises more episodes amp wages ideological warfare,0,non_offensive
162,these judges gon try amp hoe floyd if he do not show out this last round,1,offensive
163,not the type to take it slow turn a good girl into a hoe  ,1,offensive
164,fuck niggah add it upgtgtgt,1,offensive
165,    my girlfriend cheated on me so i dumped her i am dating her mom now so now that bitch is my step daughter  texas tec ,1,offensive
166,    the day i have clear skin will be the day i am the happiest cockiest bitch alive,1,offensive
167,fuck a opp thot we will shoot a bitch,1,offensive
168, just was old to me  a lil proton feel me  some bitches that is gon feel me  some niggahs that will not kill me ,1,offensive
169,    waka gone kill dat hoe lol,1,offensive
170,i luv watching gas monkey they be havin some classics on there,0,non_offensive
171,fuck this bitch idc  ,1,offensive
172,    heyhoe di doedat is funny if its da girl,1,offensive
173,    she need a man not no pussy boy,1,offensive
174,  bitch i was out dea and your ass was sleep,1,offensive
175,nappy chin hairs bitch i am mothafuckin q,1,offensive
176,i could go for a brownie right now,0,non_offensive
177,this nigga think he gone play me shoot dice let yo hoe fade me,1,offensive
178,      dawg   pet peeve is finding out a cute guy has hoes i automatically lose interest i do not compete ,1,offensive
179,when lifes got ya down you just gotta get back up and pimp slap that hoe,1,offensive
180,bout to make some brownies in a few,0,non_offensive
181,    hey i do not always go there sometimes these three crazy bitches and one suave mfer trick me into going with them,1,offensive
182,    a lot of ppl look at me like who the fuck does this bitch think she is ms goldschmied to you,1,offensive
183,i was gone for 2 days do not her bitch ass miss me,1,offensive
184,    all the kickers in college football trash like you all cannot even make 20 yard field goalsu got one fucking job,1,offensive
185,type of nicca owe yu money but still ask you to go n on a blunt,1,offensive
186,    9 10 now you are having my twins     7 8 get that pussy ate       you   httptcowwsinej ,1,offensive
187,not trash just plain as fuck for 225 and come on no elephant print on a 3,1,offensive
188,forte just trucked dude hoe ass lol,1,offensive
189,    why do people have a problem with gay people know what fuck it i got a problem with you straight hoes now what,1,offensive
190,you all really risk ur lives weaving in amp out of traffic traveling thru two counties for some pussy,1,offensive
191,hahaha i see you niggah  ,1,offensive
192,    i bet he would have gone ape shit and killed them all if they attacked muslims,1,offensive
193,    bitch i am not concerned about you,1,offensive
194,red bitch with me dark skin friend callin talkin bout come and get me,1,offensive
195,this lil fraudulent bitch had the nerve to call my phone talking crazy bout how she get down nd puts  httptcozuxdnp3xr1,1,offensive
196,first thing she wit ya next minute she against ya like that hoe from the clippers,1,offensive
197,ive got the best friends a functioning retard could have,1,offensive
198,awwwwww they no kaep aint rape no bitch,1,offensive
199,is the bitch in the new transformers hot,1,offensive
200,tell me why nick cannon bout to invite wiz to wildn out an hit him wit the i fucked your bitch diss haha,1,offensive
201,    u bitches could neva get him to buy all dem snacks fuk wit me,1,offensive
202,damn lol censored     redskins bitch lets fucking go fuck the eagles we bout to burn that bitch down httr,1,offensive
203,this niggah aaron had me weak last night,1,offensive
204,  haha bitch,1,offensive
205,    joey badass said traded in my nikes for a new mic i guess it is safe to say he sold his soles for a new life,0,non_offensive
206,    aw fag do not tweet aw to me lol,1,offensive
207,aint it a bitch when one of the people you get so excited hearing from sends the shortest most closedended thing ever ugh let down,1,offensive
208,i am lactose and hoe nigga tolerant,1,offensive
209,    anyone and everyone can have my ex fuck that hoe,1,offensive
210,  ima call you of a different number cuz moms still on sum hoe shit,1,offensive
211,good luck coming to see us in vegas that is where all the bitches are at  ,1,offensive
212,    throw me a blunt bitch,1,offensive
213,tongue inside her pussy or dont bother eating her,1,offensive
214,    top 5 thot tattoos 1 dream catchers 2 bird feathers 3 inspirational quotes that they dont live by 4 animal p ,0,non_offensive
215,  i am tired of bitches saying i look mean   nigga you big af wear tight shirts and grim everybody,1,offensive
216,  hoes be like omg i love my new comb   httptconuyjux1sk3  thought this was perro,1,offensive
217,    pnd vocals so trash lmao,0,non_offensive
218,hope you find a bitch with some ass that satisfies ya needs,1,offensive
219,    nah son we ca go half if it was my girl bitches be wanting to spend 400 and up on some fake hair,1,offensive
220,    meanwhile in canada a monkey in a winter coat escapes in an ikea httptcoq9yuyvel via  ,0,non_offensive
221,    if my tweets offend you1 stop being a sensitive pussy2 fuck your feelings,1,offensive
222,i am surprised i am still at school tbh i can be quite the retard at times i am either exceptional at a subject or absolute shiteee,1,offensive
223,    bitches hanging in the salty spatoon tweetin y cannot i find a good guy ,1,offensive
224,    cant turn a hoe into a housewife,1,offensive
225,    rip   to the hoes  dying for attention,1,offensive
226,        good pussy have a nigga like httptcouy6r3zxxnm funniest thing i have ever seen on  ,1,offensive
227,    pussy niggas do not get no pussy nigga,1,offensive
228,  finger my throbbing pussy flaps,1,offensive
229,dealing with your bitch ass is so annoying,1,offensive
230,  bitches love sosa  ,1,offensive
231,  stop calling her a bitch crystal voice,1,offensive
232,    cannot no bitch tell me a nigga not mines until she ready to tell me how tf he hers    it is levels to this shit   ,1,offensive
233,    mannn let bosh hoe ass hit that 3,1,offensive
234,im a twat,0,non_offensive
235,creeping death still stuck in my head bitch,1,offensive
236,  females that tweet all the dayum day r hoes that need attention    ,1,offensive
237,this game pissing me off including that bitch,1,offensive
238,  shut up bitch it ainn complete witout money melle n it,1,offensive
239,  find one where be beat nathan moons head into the ice too ol andrew is straight trash as far as hockey,0,non_offensive
240,maybe reluctantly but they have done it what does this mean for a discrimination law in the state culturally for queer people in the state,1,offensive
241,this pussy dryer than yours     drier vs dryer ,1,offensive
242,  someone on facebook made a status defending him so i dropped a bomb full of knowledge on that bitch and unfriended,1,offensive
243,  lol i would have beat that hoe up,1,offensive
244,i feel sorry fo niggas dat gtta make up shit to lie about i would hate to have to think that fuckin much ,1,offensive
245,every lady aint no hoe but every lady sure aint no queen,1,offensive
246,    same bitches that diss me gone still be here to eat my dick when they see that check,1,offensive
247,      haha the little shit talkier brought his other bitch,1,offensive
248,hugh heffner gonna be on life support still gettin pussy,1,offensive
249,my bitch bad she from the islands,1,offensive
250,  cause of the loads of pussy you get right,1,offensive
251,  brian stfu   its twitter i could retweet anything  make me bitch slap you again  ,1,offensive
252,dear ugly hoes stop playing hard to get you are already hard to want,1,offensive
253,the homie reallly love fat bitches   like in love,1,offensive
254,    i have not watched part 2 of the reunion i am so over them hoes i do not even care,1,offensive
255,literally just got shit on by a seagull you are gonna fuckin die bird,1,offensive
256,the dean a hoe how she fucked home and his bro,1,offensive
257,    this bitch needs to be ray rice would httptcotx51afhddf,1,offensive
258,    u need to be in someones church negro  absolutely right but i work sundays but still no excuse,1,offensive
259,i do not care how old i am when you put me in front of a bag of takis i will eat that bitch,1,offensive
260,    since day 1 u remember tha bitches in alabama lmfaoo  ,1,offensive
261,i give off the selfish little bitch vibe but if you get to actually know me i tend to put others before myself 247,1,offensive
262,    andrew bynum got traded and then they waived him the very next day a nigger cannot keep a job,1,offensive
263,    cruising down the street in my 64 jockin the bitches slappin the hoes,1,offensive
264,yankees getting killed,0,non_offensive
265,  i drive illegally retard,1,offensive
266,    bitches be like if you come over were not fucking but it happened amp she shaved bitch knew wassup  ,1,offensive
267,  watch prust tries to hit hank during break play httptcofz6lxcs3ok    pussy attempt by a pussy  ,1,offensive
268,    dese hoes aint loyal  walmart           bruh httpstco3nkvbpr9qr,1,offensive
269,    just because you not official doesnt mean you can act like complete trash and be free from acting like a decent human being,0,non_offensive
270,  what is the symptoms for ebola my stomach been hurting b i am nervous  you better not be we was drinking out same bottle,1,offensive
271,home to chicken and penne alfredo and oreos and banjo,0,non_offensive
272,  you have been talking trash since we were 3 and 5,0,non_offensive
273,cannot trust these hoes and when i say hoes i mean dudes to,1,offensive
274,  waka tammy just got her ass beat httptco9in5iysnpi  ctfu how niggas be they do not ever have they bitch back  ,1,offensive
275,  all people ever do on twitter is bitch get a mother fuckin diary ,1,offensive
276,    i swear these bitches think their still in highschool,1,offensive
277,blah blah blah blah how it sound when these bitches talk  ,1,offensive
278,    trying to download ios 8 but my phones a bitch,1,offensive
279,dude why do i have to be such a bitch like i am confused,1,offensive
280,if you are having girl problems i feel bad for you son i got 99 problems but a bitch aint one ,1,offensive
281,  you wish niggah,1,offensive
282,    lightskin bitches crying they aint got no valentine bitch maybe you should have read some of them 400 unreads msgs yo ,1,offensive
283,i do not put nothing pass nobody when it comes money n pussy,1,offensive
284,already scratched off mines     paying for pussy still on my bucket list,1,offensive
285,i hope charlie brought the lube for this test,0,non_offensive
286,go utes you got playboy bitches disrespectful players and a bunch of spoiled hipsters at your school so i am cheering for you  ,1,offensive
287,lmao joe was calling whitehouse offering advice yeah the president cares what a disgraced former redneck house guy from fl says  ,0,non_offensive
288,i was flying down the slope and just rammed into this small asian boy kid got up like a champ and walked it off,0,non_offensive
289,first thing to do when you meet a famous starsell my hoe,1,offensive
290,  yass bitch yass  ,1,offensive
291,    playoff hockey sucks dude have a snickers you are retarded when you are hungry,1,offensive
292,inbed eating left over poppadom  ,0,non_offensive
293,shut up hoe,1,offensive
294,you can only say the word negro if it is attached to the word league then we are totally cool guys,0,non_offensive
295,she kept whispering in my ear jasmin you are so damn finei said bitch jasmin is over there,1,offensive
296,i was enjoying nicki minajs song anaconda until she said fuck skinny bitches lol nah bitch fuck you,1,offensive
297,      lol and your response was bitch do i like pregnant,1,offensive
298,      that boss ass bitch song got basics thinking they are models lmao    ,1,offensive
299,    if i did smoke i would not be smokin hoes out less they gettin fucked on,1,offensive
300,sundays are the day to chug through while everyone else around you is obsessing with what their fave football team does and fantasy league,0,non_offensive
301,i will go to class the last 30 minutes of that hoe,1,offensive
302,really out here tho bitch httptco0s8phidlge,1,offensive
303,    i just realised my library books are overdue if anyones looking for a bad bitch,1,offensive
304,      to that niggah   go follow,1,offensive
305,i aint neva care what ah bitch had to say bout me,1,offensive
306,y  saying you wouldn  eat her pussy more for me,1,offensive
307,the type of pipe to put rhianna to sleepexcuse me that bitch been on my mind all week,1,offensive
308,    stills get no pussy httptco6uowecbuqo  he is jus being rational  a fag,1,offensive
309,yo bitch look like a boogawolf,1,offensive
310,he said soul patch bitch  lmaoooo,1,offensive
311,    cause i am as free as a bird now and this bird you can not change  ,0,non_offensive
312,you got to be a bad bitch for me trip,1,offensive
313,    who is da we whitey,1,offensive
314,  big congrats to all i expect him to be blogging on rube chat in a few days now get some sleep you will need it,0,non_offensive
315,  that spear chucker hell no,1,offensive
316,  lmao brutal for the nigs who cannot get jobs lol,1,offensive
317,  money getting taller and bitches getting blurry,1,offensive
318,i hate ghetto bitches with a passion,1,offensive
319,    life is a bitch and harsh enough guys need a girl that will make them feel better and help relieve some of the stress  ,1,offensive
320,yea my bitch is crazy so what,1,offensive
321,is anything going down tonight besides my bitch,1,offensive
322,  fi shoots bean bag rounds at the guy  hurts like a bitch do not they,1,offensive
323,two foreign hoes iont like the basic,1,offensive
324,    thanks for ignoring me faggots i am locked outside    ,1,offensive
325,  alot of these bitches themselves aint shit eitherbirds of a feather flock together,1,offensive
326,    sometimes i turn my phone on loud to tweet just to hear the bird chirp    ,0,non_offensive
327,ebhgjhbgjbejfb i saw thisach websingle xxxxx8898 marylandunempinsand was like some bitch named mary landunem stole my money,1,offensive
328,i should gt a scurl ondeez hoes,1,offensive
329,    both you bitches go to sleep,1,offensive
330,    real tears           both these outfits trash but the dyke outfit got me weakkkkkkkk http ,1,offensive
331,swag fags who gags lml nd you all niggaz wanna ce swagged up foh i am gxxd i will stay g would up httptcog8nrvdmxqh,1,offensive
332,leap tall hoes in a single bound,1,offensive
333,happy birthday fag   love ya,1,offensive
334,never go full retard,1,offensive
335,    it is   bitch   artist of the year   httptco1meniz4urw,1,offensive
336,this hot ass black girl from twitter goes to wohs lol that is cray i thought she was some alias ass bitch from miles away,1,offensive
337,thinking bout gettin 500 put on my ears cuz i am getting money bitch,1,offensive
338,        nah lemme chill i love the bitches  like trick love the kids  amp you know this  ,1,offensive
339,oh i am back now 2nd vap do not fuck with this one bitches httptcof0tpxsupkx,1,offensive
340,  wtf mine was just a fried twinkie w powdered sugar i got hoed,1,offensive
341,    every time i come out im never with newwww bitches,1,offensive
342,  go text your other hoesme httptcowc5tr4uhs6   ,1,offensive
343,my baby lexy she is a whole aint shit bitch in the winter sorry ass rwd that is her only flaw still love you tho httptco5ugfhrdrxt,1,offensive
344,      slap it on her forehead the bitch needs a spankin discipline her ass  ,1,offensive
345,that mocha colored chick doegtgtgtgt think i fell in love ,0,non_offensive
346,    i feel a lot of ppl trash talking indie for all sounding the same but i think any genre you are not v into tends to sound th  ,0,non_offensive
347,  the biebs is getting fucked right in the pussy,1,offensive
348,why is baltimore so damn ghetto  ,1,offensive
349,      fox8 got dem bitches huh ,1,offensive
350,got these bad bitches waiting on me,1,offensive
351,gorgeous    calico maine coon cat httptcojalyl7h60f,0,non_offensive
352,karmas a bitch huh,1,offensive
353,  i am hurt imnot in it wtf fuck danielle that bitch,1,offensive
354,      my ears look good   httptcofp3r6mkbacbsa hoe in yo background,1,offensive
355,i got 7 as amp a b on my progress report amp i still be touchin bands   bitch get like me  ,1,offensive
356,    yall say why you dating lil girls like mature hoes just on a rampage outside,1,offensive
357,ugh like i hate when my momma get to talking all proper like bitch stfu,1,offensive
358,salute           spit on my chest like a nasty bitch,1,offensive
359,damn change change niccas,1,offensive
360,    niggas talk more than bitches these days,1,offensive
361,  hey fuk them hoes they prolly already have it,1,offensive
362,  fuckin hot gym pussy httptcozvymcxquta fuck yeah,1,offensive
363,let the niccas feel on her booty lmao    take her to the hood were they do most good,1,offensive
364,fuck you bruh ima look at your young bitch,1,offensive
365,dawg what the fuck happened to so and so where did they go too worried bout bitches and fashion they go missing in action,1,offensive
366,      you a sucka hoesucka hoe im succsess,1,offensive
367,  lol  all the kids that act redneck in oviedo,1,offensive
368,      how you all bitches gon breast feed wit nipple rings  ,1,offensive
369,    hulkamania is running wild on that pussy,1,offensive
370,    pop a molly why do not you hoes start poppin some birth control  ,1,offensive
371,      why do you call most guys that talk shit to you fags then you should use another word hypocrite,1,offensive
372,im in mickey ds and he gone ask for a double cheese burger wit no cheese  ,0,non_offensive
373,it is the dykes hunter dyke with a dyke httptcolgtw3awmeh,1,offensive
374,    white girls if your black boyfriend does not call you shawty then bitch you aint that special,1,offensive
375,cleanup bitch i just got off the phone with em,1,offensive
376,    breaking florida prolife gov rick scott defeats proabortion challenger charlie crist httptcogpr1hqlen2   http ,0,non_offensive
377,  and i replied hoe httptco738up5plia,1,offensive
378,  hoe fax  type yo bitch number in google to see if it pops up on back pagethank     ,1,offensive
379,    mcdonald employees always rolling their eyes when you pay with coins like bitch you broke af too fuck you giving me attitud ,1,offensive
380,  i be laughing when my ex be tryna stunt bitch you forgot i went with you i know what you got amp do not got  ,1,offensive
381,  dont even trip my niggah i got you lol,1,offensive
382,  lmao your just a dumb hoe that budden made popular please stop your irrelevant and no one cares about you slut,1,offensive
383,    then u have the annoying hit me i dare you ass bitches always tryna test a big ass 6ft linebacker ass dude girl if you ,1,offensive
384,  bitch i am gretchen weiners i do what i want,1,offensive
385,like she got a death touch     this bitch standing in front of me looking like rogue from the xmen,1,offensive
386,  i texted u fag,1,offensive
387,    dudes built like a crushed twinkie httptco1wsyi6gdvp,0,non_offensive
388,  shut up niglet,1,offensive
389,  starve bitch,1,offensive
390,just read this instagram profile luv my grls princesses by birth bitches by choice yeaaah youre cool    ,1,offensive
391,them squirrels are faggots b        httptco7xwop3y2,1,offensive
392,we aint gon talk bout yo partnas cuz dey aint shit like my niccas,1,offensive
393,i said middle school days as in the ghetto way people   and what i am nor here to impress you what are you go httptcoqypvikcrfy,0,non_offensive
394,  thats trash its ot,1,offensive
395,i see the same hoes,1,offensive
396,i love how my brother actually tries to understand his girl and see her point of view when they argue instead of being a bitch about it ,1,offensive
397,all these ratchet hoes be on tha same stuff ,1,offensive
398, lol nah hoes we dealt with it so will you all   httptcorxtjwwkfhj,1,offensive
399,  the bitch in the purple shorts and aqua beats,1,offensive
400,that pussy came gift wrapped,1,offensive
401,    if i see a bitch coming at me like this  that mean i got 12 seconds to get up and get right   hoethea sat there http ,1,offensive
402,  if you say one disparaging word about the charlie brown xmas special i will slash the tires on your car,1,offensive
403,  trenton gossman is the sexiest hillbilly i have ever seen   ,1,offensive
404,    amen on this tweet 105 mm rockets from victor charlie leave a lasting impression,0,non_offensive
405,    how to get bitches httptcoyuoqmghvbf,1,offensive
406,damn it be cold fo a colored man,0,non_offensive
407,look a you all makeup bitches  lookin like a ghost when ya wake up bitches,1,offensive
408,    after sex a bitch be like so what are we and you like probably parents cause i aint pull out,1,offensive
409,    these hoes sad man,1,offensive
